15 2961  -0.05016000000000001 1e-05 0  0.01984 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2961  -0.04984000000000001 1e-05 0  0.02016 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2961  -0.04952000000000001 1e-05 0  0.02048 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2961  -0.04920000000000001 1e-05 0  0.0208 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2961  -0.04888000000000001 1e-05 0  0.02112 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2961  -0.04856000000000001 1e-05 0  0.02144 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2961  -0.04824000000000001 1e-05 0  0.02176 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2961  -0.04792 1e-05 0  0.02208 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2961  -0.0476 1e-05 0  0.0224 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2961  -0.04728000000000001 1e-05 0  0.02272 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2961  -0.04696000000000001 1e-05 0  0.02304 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2961  -0.04664000000000001 1e-05 0  0.02336 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2961  -0.04632000000000001 1e-05 0  0.02368 0 0   -0.002549081136830722 -1.027411735301003 0  
15 2951  -0.04600000000000001 1e-05 0  0.024 0 0   -0.001989083780432166 -1.0281260140715 0  
15 2963  -0.04568000000000001 1e-05 0  0.02432 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04536000000000001 1e-05 0  0.02464 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04504000000000001 1e-05 0  0.02496 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04472000000000001 1e-05 0  0.02528 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04440000000000001 1e-05 0  0.0256 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04408000000000001 1e-05 0  0.02592 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04376000000000001 1e-05 0  0.02624 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04344000000000001 1e-05 0  0.02656 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04312000000000001 1e-05 0  0.02688 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.0428 1e-05 0  0.0272 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04248 1e-05 0  0.02752 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04216 1e-05 0  0.02784 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04184000000000001 1e-05 0  0.02816 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04152000000000001 1e-05 0  0.02848 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04120000000000001 1e-05 0  0.0288 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04088000000000001 1e-05 0  0.02912 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04056000000000001 1e-05 0  0.02944 0 0   -0.005934912017964145 -1.037569925673255 0  
15 2963  -0.04024 1e-05 0  0.02976 0 0   -0.005934912017964145 -1.037569925673255 0  
15 3216  -0.03992000000000001 1e-05 0  0.03008 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03960000000000001 1e-05 0  0.0304 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03928000000000001 1e-05 0  0.03072 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03896000000000001 1e-05 0  0.03104 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03864000000000001 1e-05 0  0.03136 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03832000000000001 1e-05 0  0.03168 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03800000000000001 1e-05 0  0.032 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03768000000000001 1e-05 0  0.03232 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03736000000000001 1e-05 0  0.03264 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03704000000000001 1e-05 0  0.03296 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03672000000000001 1e-05 0  0.03328 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03640000000000001 1e-05 0  0.0336 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03608000000000001 1e-05 0  0.03392 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03576000000000001 1e-05 0  0.03424 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03544000000000001 1e-05 0  0.03456 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03512000000000001 1e-05 0  0.03488 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.0348 1e-05 0  0.0352 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3216  -0.03448 1e-05 0  0.03552 0 0   -0.008929743987249772 0.1020867702482278 0  
15 3166  -0.03416 1e-05 0  0.03584 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.03384 1e-05 0  0.03616 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.03352 1e-05 0  0.03648000000000001 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.03320000000000001 1e-05 0  0.0368 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.03288000000000001 1e-05 0  0.03712 0 0   -0.008383866167549492 0.08429626193186035 0  
15 3166  -0.03256000000000001 1e-05 0  0.03744 0 0   -0.008383866167549492 0.08429626193186035 0  
